Category	Table Name	Table Label	Column Name	Column Label	Description
			nonirryield_l	Non-irrigated yield [low]	The expected yield per acre of the specific crop without supplemental irrigation.
			nonirryield_r	Non-irrigated yield [representative]	The expected yield per acre of the specific crop without supplemental irrigation.
			nonirryield_h	Non-irrigated yield [high]	The expected yield per acre of the specific crop without supplemental irrigation.
			irryield_l	Irrigated yield [low]	The expected yield per acre of the specific crop with irrigation.
			irryield_r	Irrigated yield [representative]	The expected yield per acre of the specific crop with irrigation.
			irryield_h	Irrigated yield [high]	The expected yield per acre of the specific crop with irrigation.
			cropprodindex	Productivity index	An index of the capacity of a soil to produce a specific plant under a defined management system.
			vasoiprdgrp	VA soil production group	Crop specific groupings of soils indicating potential yields under a high level of management.
monthlystats	comonth	Component month	cokey	Component key	A non-connotative string of characters used to uniquely identify a record in the Component table.
			monthseq	Month sequence	An integer number used to sequence the months of the year in their proper order.
			month	Month	One of the twelve months of the year.
			flodfreqcl	Flooding frequency	The annual probability of a flood event expressed as a class. (SSM).
			floddurcl	Flooding duration	Average duration of inundation per flood occurrence and expressed as a class. (NSSH)
			pondfreqcl	Ponding frequency	The number of times ponding occurs over a period of time. (SSM)
			ponddurcl	Ponding duration	The average duration, or length of time, of the ponding occurrence. (NSSH)
			ponddep_l	Ponding depth [low]	The depth of surface water that is ponding on the soil.
			ponddep_r	Ponding depth [representative]	The depth of surface water that is ponding on the soil.
			ponddep_h	Ponding depth [high]	The depth of surface water that is ponding on the soil.
			dlyavgprecip_l	Daily precipitations [low]	The daily average precipitation for the referenced month. Commonly calculated as the total precipitation for the month divided by the number of days in the month. (February nominally has 28 days).
			dlyavgprecip_r	Daily precipitations [representative]	
			dlyavgprecip_h	Daily precipirations [high]	
			dlyavgpotet_l	Daily ET [low]	Daily average potential evapotranspiration for the referenced month.
			dlyavgpotet_r	Daily ET [representative]	Daily average potential evapotranspiration for the referenced month.
			dlyavgpotet_h	Daily ET [high]	Daily average potential evapotranspiration for the referenced month.
			comonthkey	Component month key	A non-connotative string of characters used to uniquely identify a record in the Component Month table.
	cosoilmoist	Component soil moisture	comonthkey	Component month key	A non-connotative string of characters used to uniquely identify a record in the Component Month table.
			soimoistdept_l	Top depth [low]	The distance from the top of the soil to the upper boundary of the moisture layer.
			soimoistdept_r	Top depth [representative]	The distance from the top of the soil to the upper boundary of the moisture layer.
			soimoistdept_h	Top depth [high]	The distance from the top of the soil to the upper boundary of the moisture layer.
			soimoistdepb_l	Bottom depth [low]	The distance from the top of the soil to the lower boundary of the moisture layer.
			soimoistdepb_r	Bottom depth [representative]	The distance from the top of the soil to the lower boundary of the moisture layer.
			soimoistdepb_h	Bottom depth [high]	The distance from the top of the soil to the lower boundary of the moisture layer.
			soimoiststat	Moisture status	The mean monthly soil water state at a specified depth.
	cosoiltemp	Component soil temperature	comonthkey	Component month key	A non-connotative string of characters used to uniquely identify a record in the Component Month table.
			soitempmm	Monthly temperature	The long-term monthly average of the mean daily soil temperature of the layer for the month in question. Long-term is generally considered to be a 30-year average.
			soitempdept_l	Top depth [low]	The distance from the top of the soil to the upper boundary of the soil temperature layer.
			soitempdept_r	Top depth [representative]	The distance from the top of the soil to the upper boundary of the soil temperature layer.
			soitempdept_h	Top depth [high]	The distance from the top of the soil to the upper boundary of the soil temperature layer.
			soitempdepb_l	Bottom depth [low]	The distance from the top of the soil to the lower boundary of the soil temperature layer.
			soitempdepb_r	Bottom depth [representative]	The distance from the top of the soil to the lower boundary of the soil temperature layer.
			soitempdepb_h	Bottom depth [high]	The distance from the top of the soil to the lower boundary of the soil temperature layer.
